日期	账户ID	账户	推广计划ID	推广计划	展现量	点击量	消费	平均点击价格
2014-08-21 00	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	7	2	2.19	1.10
2014-08-21 00	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	126	19	18.93	1.00
2014-08-21 00	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	37	3	1.72	0.57
2014-08-21 00	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	10	3	1.44	0.48
2014-08-21 00	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	6	1	0.42	0.42
2014-08-21 00	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	56	1	0.69	0.69
2014-08-21 00	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	34	2	4.69	2.34
2014-08-21 01	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	3	0	0.00	0.00
2014-08-21 01	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	72	14	12.33	0.88
2014-08-21 01	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	15	2	1.54	0.77
2014-08-21 01	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	2	0	0.00	0.00
2014-08-21 01	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	1	0	0.00	0.00
2014-08-21 01	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	56	11	8.66	0.79
2014-08-21 01	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	15	2	2.92	1.46
2014-08-21 02	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	7	1	0.69	0.69
2014-08-21 02	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	37	1	1.28	1.28
2014-08-21 02	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	4	1	1.61	1.61
2014-08-21 02	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	4	0	0.00	0.00
2014-08-21 02	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	22	3	1.16	0.39
2014-08-21 02	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	11	0	0.00	0.00
2014-08-21 03	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	4	0	0.00	0.00
2014-08-21 03	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	22	2	2.21	1.10
2014-08-21 03	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	1	1	0.43	0.43
2014-08-21 03	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	7	0	0.00	0.00
2014-08-21 03	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	2	0	0.00	0.00
2014-08-21 03	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	9	2	1.96	0.98
2014-08-21 03	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	5	2	2.95	1.48
2014-08-21 04	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	17	2	0.76	0.38
2014-08-21 04	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	1	0	0.00	0.00
2014-08-21 04	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	1	0	0.00	0.00
2014-08-21 04	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	13	2	0.96	0.48
2014-08-21 04	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	9	0	0.00	0.00
2014-08-21 05	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	3	1	0.39	0.39
2014-08-21 05	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	20	1	0.30	0.30
2014-08-21 05	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	1	1	0.49	0.49
2014-08-21 05	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	7	0	0.00	0.00
2014-08-21 05	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	10	1	0.99	0.99
2014-08-21 06	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	4	1	2.71	2.71
2014-08-21 06	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	29	3	1.81	0.60
