日期	账户ID	账户	推广计划ID	推广计划	展现量	点击量	消费	平均点击价格
2014-08-21 00	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	4	0	0.00	0.00
2014-08-21 00	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	12	0	0.00	0.00
2014-08-21 00	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	8	1	6.09	6.09
2014-08-21 00	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	7	1	5.56	5.56
2014-08-21 00	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	18	0	0.00	0.00
2014-08-21 00	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	76	4	10.53	2.63
2014-08-21 00	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	17	2	8.45	4.22
2014-08-21 01	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	4	1	2.42	2.42
2014-08-21 01	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	12	0	0.00	0.00
2014-08-21 01	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	8	1	1.20	1.20
2014-08-21 01	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	4	1	5.75	5.75
2014-08-21 01	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	17	0	0.00	0.00
2014-08-21 01	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	53	5	12.67	2.53
2014-08-21 01	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	15	0	0.00	0.00
2014-08-21 02	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	1	0	0.00	0.00
2014-08-21 02	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	15	0	0.00	0.00
2014-08-21 02	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	2	0	0.00	0.00
2014-08-21 02	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	22	2	10.91	5.46
2014-08-21 02	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	29	1	1.94	1.94
2014-08-21 02	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	5	1	4.02	4.02
2014-08-21 03	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	1	0	0.00	0.00
2014-08-21 03	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	9	0	0.00	0.00
2014-08-21 03	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	1	0	0.00	0.00
2014-08-21 03	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	15	0	0.00	0.00
2014-08-21 03	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	12	1	1.79	1.79
