日期	账户ID	账户	推广计划ID	推广计划	推广单元ID	推广单元	关键词keywordID	关键词ID	关键词	展现量	点击量	消费	平均点击价格
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529173	城市品牌词	9850684328	1066617900	昆明壹方城	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529173	城市品牌词	8726364586	1066617911	昆明实力壹方城	5	1	6.52	6.52
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529173	城市品牌词	8726364772	1473272269	昆明实力壹方城介绍	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8743939488	677534672	昆明五华区公寓	4	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8747908709	1473269214	昆明龙泉路 楼盘	2	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8747908124	1473269275	昆明龙泉路房屋	2	1	2.42	2.42
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8747907746	1473269559	昆明地铁2号线楼盘	9	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8747908148	1473269692	昆明龙泉路公寓	2	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8747910452	1473270199	昆明地铁8号线楼盘	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8743940217	1473270485	昆明五华区房屋	2	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8743940187	1473270528	昆明五华区楼价	2	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8743940865	1473270653	昆明五华区找房	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8743940889	1473270749	昆明五华区现在房价	4	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8743940664	1473270854	昆明龙泉路房屋信息	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8726363524	1473271044	昆明一环小户型	1	1	1.16	1.16
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8726364364	1473271183	昆明一环房源	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8743941666	1473271517	昆明白云路现在房价	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8743941882	1473271547	昆明白云路地产	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529176	城市区域板块	8743942020	1473271767	昆明五华区好房源	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8743942599	148358527	昆明滨江俊园	7	1	6.52	6.52
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747912954	296512274	昆明盛唐城	9	1	5.92	5.92
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747913215	769049691	昆明葡萄街区房价	5	1	5.67	5.67
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747914133	826404393	昆明同德广场	44	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747913749	839382655	昆明葡萄街区	14	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747913326	890647698	昆明花香四季	21	3	18.13	6.04
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747912537	1042192676	昆明朗悦湾	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747913050	1141216884	昆明葡萄街区户型	2	0	0.00	0.00
