日期	账户ID	账户	推广计划ID	推广计划	推广单元ID	推广单元	地域ID	地域	展现量	点击量	消费	平均点击价格
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	1000	北京	5	1	5.99	5.99
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	1000	北京	9	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	534805939	竞品词	1000	北京	5	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	534805945	区域板块	1000	北京	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	536090612	品牌词	1000	北京	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	536090603	城市竞品词	1000	北京	13	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	536090600	城市通用词	1000	北京	25	5	16.91	3.38
2014-08-21	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	632240106	通用词-精确	1000	北京	2493	42	176.65	4.21
2014-08-21	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	632240109	物业词-精确	1000	北京	224	21	71.16	3.39
2014-08-21	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	632240112	通用词-短语	1000	北京	5479	159	446.83	2.81
2014-08-21	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	632240118	户型词-短语	1000	北京	2	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	632240142	房价词-精确	1000	北京	268	6	24.40	4.07
2014-08-21	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	632240145	房价词-短语	1000	北京	194	1	2.17	2.17
2014-08-21	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	632240151	配套词-短语	1000	北京	3	1	2.95	2.95
2014-08-21	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	632240154	物业词-短语	1000	北京	58	1	2.85	2.85
2014-08-21	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	632240133	区域词-短语	1000	北京	38	2	6.31	3.16
2014-08-21	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	632240139	区域词-精确	1000	北京	15	3	15.78	5.26
2014-08-21	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	632240187	品牌词-精确	1000	北京	8	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	632240190	品牌词-短语	1000	北京	22	2	6.15	3.08
2014-08-21	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	632240196	竞品词-短语	1000	北京	115	11	43.42	3.95
